,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
153,Poppy,9,low,80,row_B2,left,middle,0.6945970736496028,0.7336327903000249,18.8,1.59,3.81,1.28,0.8590913034630465,0.9984118000996411,2.9972614049734587
154,Poppy,10,low,80,row_B5,right,middle,1.2488631911102466,1.4236816643803238,20.3,2.06,3.43,0.83,0.6229493059061575,1.1833558100765806,2.7380456576607366
155,Poppy,11,low,80,row_C3,center,close,0.8509707798966737,0.9776398377315368,38.0,1.77,6.28,1.03,0.733703730068409,1.072558332284359,4.575983437411485
156,Poppy,12,low,80,row_A1,left,far,0.9293697192324001,1.0810827752441243,22.4,2.98,5.21,3.69,1.671247647354781,1.4812270942675676,3.9118109195909523
157,Poppy,13,low,80,row_A5,right,far,1.1537361501333936,1.4837723502679383,0.0,1.97,1.97,1.28,0.8590913034630465,1.1500199626364438,1.6831857254687546
158,Poppy,14,low,80,row_A4,center,far,0.7574455000970458,1.3532003079256152,53.7,2.28,7.89,1.6,1.0026509310601806,1.2612703406527404,5.531263842868214
159,Poppy,15,low,80,row_B3,center,middle,0.6748040524757171,0.8340162852985155,34.4,1.52,5.75,1.19,0.8154454570893899,0.9683185250667603,4.250295821279264
160,Poppy,16,low,80,row_C1,left,close,1.060207631983521,2.7019688110812754,64.2,4.71,12.89,4.97,1.9563173321470884,1.9031967126876048,8.259909125041622
161,Poppy,17,low,80,row_A2,left,far,0.7813232121908232,1.0006535781130912,19.7,2.63,4.68,2.21,1.2370031663900938,1.376028266674394,3.572355396558489
162,Poppy,18,low,80,row_A3,center,far,0.4267885618787991,0.5824344014894776,52.5,1.56,7.93,0.77,0.5875951574308247,0.9856054330611785,5.554415958310821
163,Poppy,19,low,80,row_C6,right,close,1.7087862463196606,2.0193135649450804,20.6,3.57,4.97,5.55,2.067689574748981,1.641035670622828,3.759031202297113
164,Poppy,20,low,80,row_C5,right,close,1.5590349832855048,1.8404033542580729,38.8,2.32,5.93,1.32,0.8779935880855194,1.274928808726321,4.361600237464599
165,Poppy,21,low,80,row_B6,right,middle,1.5909673458256892,2.1022729873247887,18.6,4.67,5.86,4.67,1.8948318179396795,1.8948318179396795,4.318402096707558
166,Poppy,22,low,80,row_A6,right,far,1.5883367727582434,1.7225091913904789,20.6,3.41,4.53,3.72,1.6786918613273882,1.5996225865400127,3.4748673417232427
167,Poppy,23,low,80,row_B1,left,middle,0.9939320537030224,1.0568884223990194,38.8,2.35,6.91,1.57,0.9898891605757609,1.2850758050781375,4.955514683655713
168,Poppy,24,low,80,row_B4,center,middle,1.0667340572816646,1.142017242902912,16.9,1.7,3.47,1.25,0.8447177119769855,1.0442537523679474,2.76558607045626
169,Poppy,25,low,80,row_C2,left,close,1.4067953632708456,1.6143233345190886,42.8,5.39,10.31,7.01,2.3129821990021138,2.0378821089210852,6.889768912569853
170,Poppy,26,low,80,row_C4,center,close,1.3057537360296088,1.6314687709660338,37.6,1.91,5.98,0.96,0.6961037572506878,1.1272872353823438,4.392389267905951
171,Poppy,27,low,80,row_B2,left,middle,0.8410998791935201,1.1149036230310816,18.5,1.4,3.54,0.78,0.593561696111744,0.9149342561789697,2.813634113787789
172,Poppy,28,low,80,row_B5,right,middle,1.3459046004135649,1.8883928515661568,38.8,2.98,6.1,3.85,1.71046590191539,1.4812270942675676,4.466059107512464
173,Poppy,29,low,80,row_C3,center,close,0.8710662106653879,1.063502484338949,17.6,2.46,4.31,1.4,0.9149342561789697,1.3215948640448927,3.3306783259535404
174,Poppy,30,low,80,row_A1,left,far,0.8958868472178088,1.3716999409411104,22.1,2.31,4.35,0.72,0.5572995598536834,1.2715281339346007,3.3570039398568348
175,Poppy,31,low,80,row_A5,right,far,0.6998374434280661,0.7826023033373614,21.1,1.75,3.41,1.48,0.9507828735885715,1.0645376106020565,2.7242521555997095
176,Poppy,32,low,80,row_A4,center,far,0.4101463540530969,0.5692586384194448,18.0,1.49,3.49,1.26,0.8495279738135442,0.9551905199989719,2.7793331550412828
177,Poppy,33,low,80,row_B3,center,middle,0.4483372687444172,0.5207059872788223,0.0,1.26,1.26,0.73,0.56342152496756,0.8495279738135442,1.1243168475462362
178,Poppy,34,low,80,row_C1,left,close,0.8717911085975307,1.4093745787432717,66.6,2.39,10.59,1.94,1.138705792441983,1.2984786638084445,7.041984820152663
179,Poppy,35,low,80,row_A2,left,far,0.6227984557179123,0.6277120185473576,19.7,3.29,5.25,2.96,1.4754445452232101,1.5676656997135252,3.9371294336139653
180,Poppy,36,low,80,row_A3,center,far,0.3070307747056098,0.5338790785595702,33.8,1.07,5.2,0.38,0.3273265265374614,0.7546686543316117,3.905474928349603
181,Poppy,37,low,80,row_C6,right,close,1.4679762013351831,1.9604050524219665,20.6,4.1,5.49,4.94,1.9502955027036517,1.7694730182265461,4.088201584267996
182,Poppy,38,low,80,row_C5,right,close,1.0235610287995731,1.1532653462254807,0.0,1.78,1.78,1.38,0.9058041873472433,1.076549166739913,1.537264373269308
183,Poppy,39,low,80,row_B6,right,middle,1.2058167165448137,1.2943335119489965,0.0,4.03,4.03,3.89,1.7200883596850858,1.7532181877083008,3.14498256649209
184,Poppy,40,low,80,row_A6,right,far,1.5197501921012202,1.7944435522986428,0.0,3.28,3.28,3.11,1.5181885138887252,1.5649664415413977,2.634208945479033
185,Poppy,41,low,80,row_B1,left,middle,0.7245379267254897,1.459182923234032,20.3,5.41,7.55,6.67,2.25969134641832,2.041644537990921,5.333403665553669
186,Poppy,42,low,80,row_B4,center,middle,0.777406575968524,0.9827423802170648,16.0,1.28,3.12,0.86,0.6402368261921532,0.8590913034630465,2.5224413603231515
188,Poppy,44,low,80,row_C4,center,close,0.6743670386502569,0.7813697556207847,20.3,1.24,3.36,0.61,0.4877563081969649,0.8398881704674066,2.6896997459396226
189,Poppy,45,low,80,row_B2,left,middle,0.6140453718619993,0.7061557914023457,17.8,1.44,3.64,1.03,0.733703730068409,0.9329907995805331,2.8819543741621962
190,Poppy,46,low,80,row_B5,right,middle,0.8948965269425642,1.1330874992573463,18.8,1.96,3.51,1.44,0.9329907995805331,1.1462600467961237,2.7930649395325067
