PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError
Katrina,24,mid,160,row_B4,center,middle,0.6035087460637031,0.7212762935176092,34.2,1.63,5.39,0.98
Katrina,25,mid,160,row_B5,right,middle,0.7533839741962702,0.859665233659644,0.0,2.6,2.6,2.22
Katrina,26,mid,160,row_C1,left,close,0.783559395799905,0.8869726990792023,0.0,3.91,3.91,3.05
Katrina,27,mid,160,row_C4,center,close,0.607298841546422,0.6771840093501114,0.0,1.56,1.56,1.5
Katrina,28,mid,160,row_B3,center,middle,0.42002809942996133,0.5598928935677823,0.0,1.13,1.13,0.69
Katrina,29,mid,160,row_A6,right,far,0.9060033799175091,0.9690865660202651,0.0,4.91,4.91,4.64
Katrina,30,mid,160,row_B1,left,middle,0.7066596013440312,0.7150002801069574,22.7,3.86,5.76,3.57
Katrina,31,mid,160,row_B2,left,middle,0.5593633801734075,0.6552853414772792,43.4,2.06,6.03,1.2
Katrina,32,mid,160,row_A2,left,far,0.582613116440025,0.6468641146612145,19.7,2.78,4.76,1.95
Katrina,33,mid,160,row_C2,left,close,0.9061589201670995,0.9402494551000691,0.0,3.65,3.65,3.66
Katrina,34,mid,160,row_A4,center,far,0.5459903551939139,0.6298835738014896,59.6,0.94,8.96,0.33
Katrina,35,mid,160,row_C6,right,close,1.0432392769323775,1.1567798726507037,0.0,5.53,5.53,6.96
Katrina,36,mid,160,row_B6,right,middle,1.2058103558052282,1.243910334825169,40.0,4.74,7.28,7.28
Katrina,37,mid,160,row_A5,right,far,0.6609780705370168,0.6987864094435424,17.1,1.88,3.39,1.54
Katrina,38,mid,160,row_A1,left,far,1.0899847797999003,1.2819994226343963,17.3,4.57,6.58,3.75
Katrina,39,mid,160,row_A3,center,far,0.42401773942230153,0.5025516268578936,44.7,1.89,7.93,1.08
Katrina,40,mid,160,row_C5,right,close,0.9043191796249177,0.9808426096435753,0.0,2.28,2.28,1.68
Katrina,41,mid,160,row_C3,center,close,0.5666483907258861,0.7791328193526108,17.7,1.92,3.93,1.56
Katrina,42,mid,160,row_B4,center,middle,0.7448805279294837,0.9409287783621827,33.4,1.81,5.4,1.11
Katrina,43,mid,160,row_B5,right,middle,0.9249159078655218,0.9808407398831503,17.3,2.57,3.92,1.88
Katrina,44,mid,160,row_C1,left,close,0.8040196117431666,0.9276554408959226,0.0,4.24,4.24,3.59
Katrina,45,mid,160,row_C4,center,close,0.6407556443807494,0.7517868267313345,39.4,1.64,5.75,1.32
Katrina,46,mid,160,row_B3,center,middle,0.5880031381756912,0.5818039140438019,33.4,0.82,5.02,0.45
Katrina,47,mid,160,row_A6,right,far,1.015995091392528,1.1422174993196705,18.9,3.65,4.83,3.54
Katrina,48,mid,160,row_B1,left,middle,0.8022585488602827,0.9276300749109796,40.6,3.49,7.55,2.83
Katrina,49,mid,160,row_B2,left,middle,0.8137547478059464,0.9348276168443409,34.8,1.96,5.95,0.96
Katrina,50,mid,160,row_A2,left,far,0.7667412469365822,0.9161720406336338,0.0,2.84,2.84,1.9
Katrina,51,mid,160,row_C2,left,close,0.7598157148854362,0.8000109806503825,41.2,3.57,7.78,3.45
Katrina,52,mid,160,row_A4,center,far,0.5079087680792356,0.6074332667591523,43.5,0.95,6.79,0.35
Katrina,53,mid,160,row_C6,right,close,0.7445068329364436,0.8406498517551299,25.0,3.74,5.13,4.94
Katrina,54,mid,160,row_B6,right,middle,0.9224771208299285,1.1040704868672278,39.0,4.18,6.68,3.94
Katrina,55,mid,160,row_A5,right,far,0.9001935782288988,0.8721975277255218,37.6,1.91,5.14,1.41
Katrina,56,mid,160,row_A1,left,far,1.1183310985078183,1.5040202242853915,0.0,5.71,5.71,4.69
Katrina,57,mid,160,row_A3,center,far,0.5375390809334176,0.5611256314664699,46.2,1.3,7.46,0.5
Katrina,58,mid,160,row_C5,right,close,0.9774023634373956,1.0621958551439608,16.7,2.5,4.09,1.75
Katrina,59,mid,160,row_C3,center,close,0.6344904817643011,0.7794581950457914,0.0,1.86,1.86,1.38
Katrina,60,mid,160,row_B4,center,middle,0.7402719352867057,0.8595593414257046,0.0,1.81,1.81,1.02
Katrina,61,mid,160,row_B5,right,middle,0.867909363281345,0.9836433622635963,19.4,2.34,3.79,1.71
Katrina,62,mid,160,row_C1,left,close,0.8008891440094198,1.13769150958241,45.0,4.0,8.32,3.67
Katrina,63,mid,160,row_C4,center,close,0.6371532227977723,0.7544239337178937,17.6,1.95,3.87,1.5
Katrina,64,mid,160,row_B3,center,middle,0.5552449299986222,0.7158822477023028,31.4,0.93,5.02,0.15
Katrina,65,mid,160,row_A6,right,far,1.0876123400440967,1.3330989672091766,16.7,3.8,4.97,2.63
Katrina,66,mid,160,row_B1,left,middle,0.8792391284422768,1.1028771688822328,0.0,4.76,4.76,4.11
Katrina,67,mid,160,row_B2,left,middle,0.6753069938464209,0.6728662352201884,17.3,2.03,4.01,1.01
Katrina,68,mid,160,row_A2,left,far,0.8420457025475783,0.8866291201989918,32.0,2.95,6.97,1.89
Katrina,69,mid,160,row_C2,left,close,5.643672264643351e-07,1.5351447185586262,34.6,42.26,46.21,38.6
Katrina,70,mid,160,row_A4,center,far,1.6118371231327697e-06,0.5541062491769178,154.0,16.22,35.96,16.24
Katrina,71,mid,160,row_C6,right,close,8.26614282289052e-07,1.3559585370871408,114.0,54.02,65.91,52.54
Pete,0,mid,160,row_A3,center,far,0.38478933836250595,0.3924799042259697,0.0,0.88,0.88,0.86
Pete,1,mid,160,row_C5,right,close,1.9956577942371632,2.2827957769630336,61.6,2.31,6.21,1.68
Pete,2,mid,160,row_B2,left,middle,1.3810456672631588,1.7614183070346343,48.8,1.98,6.64,1.55
Pete,3,mid,160,row_A2,left,far,1.6380432017422828,2.1220006832731837,59.4,2.02,6.57,1.21
Pete,4,mid,160,row_C3,center,close,1.4848554926423663,1.7002222057254701,50.0,2.02,6.72,0.95
Pete,5,mid,160,row_A1,left,far,2.019081408195661,2.4943352231598426,70.5,5.43,13.13,7.47
Pete,6,mid,160,row_B3,center,middle,1.1942670358397727,1.6311807161578917,20.8,1.33,3.33,0.57
Pete,7,mid,160,row_B5,right,middle,2.355126051434277,2.857003740427814,61.2,2.86,7.85,2.09
Pete,8,mid,160,row_B4,center,middle,1.52131892127669,1.7138596459687958,39.3,2.71,4.45,0.62
Pete,9,mid,160,row_C2,left,close,1.5115616260148004,1.6950723886378491,22.2,1.72,4.12,1.62
Pete,10,mid,160,row_A6,right,far,2.195231622755058,2.6297965141590627,52.2,4.36,7.35,5.19
Pete,11,mid,160,row_A4,center,far,0.7923821980365252,0.9494245809348724,37.8,1.28,5.12,0.34
Pete,12,mid,160,row_C6,right,close,3.0193853312261516,3.673046326914732,65.4,3.41,8.96,0.85
Pete,13,mid,160,row_C1,left,close,1.9917728451252832,2.3775651879686186,50.0,3.15,8.71,3.24
Pete,14,mid,160,row_A5,right,far,1.86121902950096,2.08354901367293,48.8,2.16,5.35,0.88
Pete,15,mid,160,row_B1,left,middle,2.2300357588415807,2.6085467953026527,51.2,2.25,7.45,1.37
Pete,16,mid,160,row_C4,center,close,1.8842563808219979,2.236336352714018,44.0,1.55,5.93,0.21
Pete,17,mid,160,row_B6,right,middle,2.8540449908148253,3.3412143670334595,60.0,3.92,7.99,1.95
Pete,18,mid,160,row_A3,center,far,1.294741874830676,1.4424066957043569,41.6,1.39,5.52,0.6
Pete,19,mid,160,row_C5,right,close,2.078901977983736,2.513778182227901,42.4,2.53,6.03,1.45
Pete,20,mid,160,row_B2,left,middle,0.9705198063173892,1.1818714037818825,50.0,1.45,6.23,0.45
Pete,21,mid,160,row_A2,left,far,1.133565961970579,1.340758523413351,38.0,2.34,6.86,1.76
Pete,22,mid,160,row_C3,center,close,1.1560968314005986,1.3517913590590889,37.6,1.62,6.11,0.57
Pete,23,mid,160,row_A1,left,far,1.5008563845147096,2.0063674885492087,37.0,3.33,8.14,2.04
Pete,24,mid,160,row_B3,center,middle,1.1676717991311492,1.3674688997732294,50.7,1.65,8.07,0.68
Pete,25,mid,160,row_B5,right,middle,2.400310298592472,3.028282860832105,54.9,2.71,8.01,2.08
Pete,26,mid,160,row_B4,center,middle,1.7127782171933115,2.0084976788931215,54.9,2.12,7.93,0.85
Pete,27,mid,160,row_C2,left,close,1.316350564226472,1.606093652701718,41.4,3.02,8.02,2.54
Pete,28,mid,160,row_A6,right,far,0.5448177599321178,0.5429693497592879,0.0,2.26,2.26,1.76
Pete,29,mid,160,row_A4,center,far,0.8589750265696346,1.1191244030333365,50.0,1.24,5.0,0.63
Pete,30,mid,160,row_C6,right,close,2.211165166644499,2.606381738101925,51.0,2.49,6.08,1.32
Pete,31,mid,160,row_C1,left,close,42.487642598239226,42.206001391675,0.0,2.18,2.18,2.56
Pete,32,mid,160,row_A5,right,far,1.5534422696669834,1.8065321465906858,63.6,1.91,7.14,0.96
Pete,33,mid,160,row_B1,left,middle,2.609081414767176,2.927330298082341,63.6,2.01,10.01,0.71
Pete,34,mid,160,row_C4,center,close,1.5143875538942126,1.9666379507829053,57.0,1.4,7.98,0.6
Pete,35,mid,160,row_B6,right,middle,3.9997765021382854,4.4083600427733005,62.4,5.28,9.0,4.28
Pete,36,mid,160,row_A3,center,far,0.8361856351181038,0.9544646295434082,69.9,1.16,7.81,0.25
Pete,37,mid,160,row_C5,right,close,2.307351863160776,2.729730827668713,57.8,2.2,5.79,1.18
